text,target
الى اين تتجه هذه العلامه وهذه وهذه,direction
هل لديك مرض السكري او اي مرض,Sugar
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
ارتدي هذه النظاره,glasses
اذهب الى اشعه وعمل صوره اشعه للعينين,ray
يرتدي هذه النظاره,glasses
اذهب الى قسم الاشعه التحليليه نقوم بعمل اشعه تحليليه للعينين,ray
السؤال الثالث هل تشعر بالصداع,headache
الى اين تتجه هذه العلامه وهذه وهذه هذه,direction
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل لديك مرض السكري او اي مرض مزمن,Sugar
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل لديك مرض السكري او اي مرض مزمن,Sugar
هل لديك مرض السكري او اي مرض مزمن,Sugar
هل لديك مرض السكري او اي مرض مزمن,Sugar
هل تشعر بالصداع,headache
هل لديك مرض السكري او اي مرض مزمن,Sugar
هل تشعر بالصداع,headache
اصابه شيء فيها مثلا سعد حشره او ضربه عصا او نحو ذلك,bug-pit
اذهب الى الاشعه وعمل صوره اشعه للعين,ray
هل اصابك شيء فيها في المزرعه الحشره او ضربه عصا او نحو ذلك,bug-pit
هل لديك مرض السكري او اي مرض مزمن,Sugar
اذهب الى الاشعه وعمل صوره اسال الله,ray
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
ارتدي هذه النظاره,glasses
هل تشعر بالصداع,headache
اجلس هنا من فضلك وضع راسك في هذا الجهاز,Sit-down
هل تشعر بالصداع,headache
ارتدي هذه النظاره,glasses
يا اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل اصابك شيء فيها مثلثات حشره او ضربتها او نحو ذلك,bug-pit
هل تشعر بصداع,headache
اذا في الاشعه واعمل صوره اشعه العين,ray
اذهب الى الاشعه و اعمل صوره اشعه للعين,ray
حسين الجسمي انا من فضلك اوضاع راسك في هذا الجهاز,Sit-down
هل اصابك شيء فيها مثل رفعت حشره او ضرب او نحو ذلك,bug-pit
ارتدي هذه النظاره,glasses
هل اصابك شيء فيها مثل والزعتر تحشر او ضربه عصا او نحو ذلك,bug-pit
هل لديك مرض السكري او اي مرض مزمن,Sugar
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,Sit-down
خلاص اوكي شيء فيها مثل حشره او ضربته او نحوه,bug-pit
هل تشعر بالصداع,headache
اذهب الى الاشعه و اعمل صوره اشعه من العين,ray
هل لديك مرض السكري او اي مرض مزمن,Sugar
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
حسنا اجلس هنا من فضلك ضع راسك في هذا الجهاز,Sit-down
ارتدي هذه النظاره,glasses
هل تجرب الصداع,headache
ارتدي هذه النظاره,glasses
هل لديك مرض السكري او اي مرض,Sugar
اصابه شيء فيها مثل يسعدك حشره او ضربه عصا او نحو ذلك,bug-pit
السؤال الرابع هل اصابك شيء فيها مثل لسعه حشره او ضربه عصا او نحو ذلك,bug-pit
هل تشعر بالصداع,headache
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل اصابك شيء فيها مثل الازعاج حشره او ضربه عصا او نحو ذلك,bug-pit
هل اصابك شيء فيها مثل لسعه حشره او ضربه عصا او نحو ذلك,bug-pit
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,Sit-down
لديك مرض السكري او اي مرض مزمن,Sugar
ارتدي هذه النظاره,glasses
حسنا اجلسوا انا من فضلك وضعه راسك في هذا الجهاز,Sit-down
هل لديك مرض السكري او اي مرض مزمن,Sugar
حسنا نجلس هنا من فضلك ضع راسك في هذا الجهاز,Sit-down
اذهب الى الاشعه وعمل صوره صوره توجع للعينين,ray
ارتدي هذه النظاره,glasses
هل تشعر بصداع,headache
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل لديك مرض السكري او اي مرض مزمن,Sugar
هل اصابك شيء فيها مثلا 10:00 او ضربه عصا او نحوه,bug-pit
هل لديك مرض السكري او اي مرض مزمن,Sugar
اذهب الى الاشعه وعمل صوره اشعه العينين,ray
ارتدي هذه النظاره,glasses
اذهب الى الاشعه وعمل صوره اشعه للعينين,ray
هل تشعر بالصداع,headache
اسامي الاشعه بعمل صوره اشعه للعينين,ray
اذهب الى اشعه وعمل صوره اشعه للعينين,ray
هل تجارب صداع,headache
الى اين تتجه هذه العلامه وهذه وهذه وهذه,direction
هل تشعر بالصداع,headache
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,Sit-down
