text,target
الى اين تتجه هذه العلامه وهذه وهذه,3
هل لديك مرض السكري او اي مرض,1
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
ارتدي هذه النظاره,4
اذهب الى اشعه وعمل صوره اشعه للعينين,6
يرتدي هذه النظاره,4
اذهب الى قسم الاشعه التحليليه نقوم بعمل اشعه تحليليه للعينين,6
السؤال الثالث هل تشعر بالصداع,5
الى اين تتجه هذه العلامه وهذه وهذه هذه,3
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل لديك مرض السكري او اي مرض مزمن,1
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل لديك مرض السكري او اي مرض مزمن,1
هل لديك مرض السكري او اي مرض مزمن,1
هل لديك مرض السكري او اي مرض مزمن,1
هل تشعر بالصداع,5
هل لديك مرض السكري او اي مرض مزمن,1
هل تشعر بالصداع,5
اصابه شيء فيها مثلا سعد حشره او ضربه عصا او نحو ذلك,2
اذهب الى الاشعه وعمل صوره اشعه للعين,6
هل اصابك شيء فيها في المزرعه الحشره او ضربه عصا او نحو ذلك,2
هل لديك مرض السكري او اي مرض مزمن,1
اذهب الى الاشعه وعمل صوره اسال الله,6
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
ارتدي هذه النظاره,4
هل تشعر بالصداع,5
اجلس هنا من فضلك وضع راسك في هذا الجهاز,0
هل تشعر بالصداع,5
ارتدي هذه النظاره,4
يا اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل اصابك شيء فيها مثلثات حشره او ضربتها او نحو ذلك,2
هل تشعر بصداع,5
اذا في الاشعه واعمل صوره اشعه العين,6
اذهب الى الاشعه و اعمل صوره اشعه للعين,6
حسين الجسمي انا من فضلك اوضاع راسك في هذا الجهاز,0
هل اصابك شيء فيها مثل رفعت حشره او ضرب او نحو ذلك,2
ارتدي هذه النظاره,4
هل اصابك شيء فيها مثل والزعتر تحشر او ضربه عصا او نحو ذلك,2
هل لديك مرض السكري او اي مرض مزمن,1
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,0
خلاص اوكي شيء فيها مثل حشره او ضربته او نحوه,2
هل تشعر بالصداع,5
اذهب الى الاشعه و اعمل صوره اشعه من العين,6
هل لديك مرض السكري او اي مرض مزمن,1
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
حسنا اجلس هنا من فضلك ضع راسك في هذا الجهاز,0
ارتدي هذه النظاره,4
هل تجرب الصداع,5
ارتدي هذه النظاره,4
هل لديك مرض السكري او اي مرض,1
اصابه شيء فيها مثل يسعدك حشره او ضربه عصا او نحو ذلك,2
السؤال الرابع هل اصابك شيء فيها مثل لسعه حشره او ضربه عصا او نحو ذلك,2
هل تشعر بالصداع,5
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل اصابك شيء فيها مثل الازعاج حشره او ضربه عصا او نحو ذلك,2
هل اصابك شيء فيها مثل لسعه حشره او ضربه عصا او نحو ذلك,2
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,0
لديك مرض السكري او اي مرض مزمن,1
ارتدي هذه النظاره,4
حسنا اجلسوا انا من فضلك وضعه راسك في هذا الجهاز,0
هل لديك مرض السكري او اي مرض مزمن,1
حسنا نجلس هنا من فضلك ضع راسك في هذا الجهاز,0
اذهب الى الاشعه وعمل صوره صوره توجع للعينين,6
ارتدي هذه النظاره,4
هل تشعر بصداع,5
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل لديك مرض السكري او اي مرض مزمن,1
هل اصابك شيء فيها مثلا 10:00 او ضربه عصا او نحوه,2
هل لديك مرض السكري او اي مرض مزمن,1
اذهب الى الاشعه وعمل صوره اشعه العينين,6
ارتدي هذه النظاره,4
اذهب الى الاشعه وعمل صوره اشعه للعينين,6
هل تشعر بالصداع,5
اسامي الاشعه بعمل صوره اشعه للعينين,6
اذهب الى اشعه وعمل صوره اشعه للعينين,6
هل تجارب صداع,5
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
هل تشعر بالصداع,5
حسنا اجلس هنا من فضلك وضع راسك في هذا الجهاز,0
اعتدى هذه النظاره,4
لديك مرض السكري او اي مرض مزمن,1
هل اصابك شيء فيها مثل لسعه حشره او ضربه عصا او نحو ذلك,2
ارتدي هذه النظاره,4
حسنا اجلس هنا من فضلك وضاع راسخه في هذا الجهاز,0
يرتدي هذه النظاره,4
هل لديك مرض السكري او اي مرض مزمن,1
الى اين تتجه هذه العلامه وهذه وهذه وهذه,3
ارتدي هذه النظاره,4
اذهب الى الاشعه وقم بعمل صوره اشعه للعينين,6
اذهب الى الاشعه وعمل صوره اشعه للعينين,6
هل اصابك شيء فيها مثل يسعد عشره او ضربه عصا او نحو ذلك,2
ارتدي هذه النظاره,4
ارسلي هذه النظاره,4
